recipe_id,ingredient,family,importance,quantity,unit

1,spaghetti,pasta,core,8,oz
1,ground beef,beef,core,1,lb
1,yellow onion,vegetables,core,1,whole
1,garlic,vegetables,core,3,cloves
1,tomato sauce,tomato_sauce,core,2,cups
1,olive oil,oil,core,2,tbsp
1,salt,seasoning,optional,1,tsp
1,black pepper,seasoning,optional,1,tsp
2,fettuccine,pasta,core,8,oz
2,chicken breast,chicken,core,1,lb
2,heavy cream,dairy,core,1,cup
2,butter,butter,core,2,tbsp
2,parmesan,cheese,core,0.5,cup
2,garlic,vegetables,core,2,cloves
2,salt,seasoning,optional,1,tsp
3,broccoli,vegetables,core,1,cup
3,carrots,vegetables,core,1,cup
3,red bell pepper,vegetables,core,1,cup
3,soy sauce,asian_sauce,core,2,tbsp
3,vegetable oil,oil,core,1,tbsp
3,garlic,vegetables,core,2,cloves
4,ground beef,beef,core,1,lb
4,corn tortillas,tortilla,core,4,whole
4,romaine lettuce,leafy_greens,core,1,cup
4,cheddar,cheese,core,0.5,cup
4,salsa,mexican_sauce,core,0.5,cup
4,chili powder,seasoning,optional,1,tsp
5,chicken breast,chicken,core,1,lb
5,romaine lettuce,leafy_greens,core,2,cups
5,cherry tomatoes,tomatoes,core,1,cup
5,cucumber,vegetables,core,1,cup
5,olive oil,oil,core,2,tbsp
5,black pepper,seasoning,optional,0.5,tsp
6,shrimp,shellfish,core,1,lb
6,garlic,vegetables,core,3,cloves
6,butter,butter,core,2,tbsp
6,lemon,fruit,core,1,whole
6,linguine,pasta,core,8,oz
7,jasmine rice,rice,core,2,cups
7,eggs,eggs,core,2,whole
7,soy sauce,asian_sauce,core,2,tbsp
7,peas,vegetables,core,0.5,cup
7,carrots,vegetables,core,0.5,cup
7,vegetable oil,oil,core,1,tbsp
8,eggs,eggs,core,3,whole
8,cheddar,cheese,core,0.5,cup
8,spinach,leafy_greens,core,0.5,cup
8,butter,butter,core,1,tbsp
9,chicken thighs,chicken,core,1,lb
9,yellow onion,vegetables,core,1,whole
9,garlic,vegetables,core,3,cloves
9,coconut milk,dairy,core,1,cup
9,basmati rice,rice,core,1,cup
9,curry powder,seasoning,optional,1,tbsp
10,sourdough bread,bread,core,2,slices
10,fresh mozzarella,cheese,core,0.5,cup
10,roma tomatoes,tomatoes,core,1,whole
10,basil,herbs,optional,0.25,cup
10,olive oil,oil,core,1,tbsp
11,beef strips,beef,core,1,lb
11,broccoli,vegetables,core,1,cup
11,snow peas,vegetables,core,1,cup
11,soy sauce,asian_sauce,core,2,tbsp
11,jasmine rice,rice,core,1,cup
12,penne,pasta,core,8,oz
12,zucchini,vegetables,core,1,cup
12,red bell pepper,vegetables,core,1,cup
12,cherry tomatoes,tomatoes,core,1,cup
12,parmesan,cheese,core,0.5,cup
12,olive oil,oil,core,2,tbsp
13,sliced turkey,turkey,core,4,slices
13,whole wheat bread,bread,core,2,slices
13,romaine lettuce,leafy_greens,core,0.5,cup
13,roma tomato,tomatoes,core,1,whole
13,swiss cheese,cheese,core,1,slice
13,mayonnaise,condiment,optional,1,tbsp
14,banana,fruit,core,1,whole
14,eggs,eggs,core,2,whole
14,all purpose flour,flour,core,1,cup
14,milk,dairy,core,0.5,cup
14,cinnamon,seasoning,optional,0.5,tsp
15,salmon,fish,core,1,lb
15,lemon,fruit,core,1,whole
15,garlic,vegetables,core,2,cloves
15,olive oil,oil,core,1,tbsp
15,black pepper,seasoning,optional,0.5,tsp
16,chicken breast,chicken,core,1,lb
16,breadcrumbs,grains,core,1,cup
16,eggs,eggs,core,2,whole
16,marinara,tomato_sauce,core,1,cup
16,mozzarella,cheese,core,1,cup
16,parmesan,cheese,core,0.25,cup
16,olive oil,oil,core,2,tbsp
16,italian seasoning,seasoning,optional,1,tsp
17,ground beef,beef,core,1,lb
17,burger buns,bread,core,2,whole
17,romaine lettuce,leafy_greens,core,0.5,cup
17,roma tomato,tomatoes,core,1,whole
